Id,Time[s],0:SPI: MOSI data
0,0.62965,FF
1,0.6325,BB
2,0.6351,C0
3,0.63795,60
4,0.6408,10
5,0.643625,08
6,0.646475,9B
7,0.649325,A2
8,0.65215,01
9,0.655,0E
10,0.657825,7F
11,0.66045,DD
12,0.6633,E0
13,0.666125,30
14,0.668975,08
15,0.6718,04
16,0.67465,00
17,0.6775,22
18,0.680325,FF
19,0.683175,BB
20,0.685775,C0
21,0.688625,60
22,0.691475,10
23,0.6943,08
24,0.69715,9B
25,0.7,A2
26,0.702825,01
27,0.705675,0C
28,0.708525,74
29,0.711125,40
30,0.713975,20
31,0.7168,03
32,0.71965,AB
33,0.722475,BB
34,0.725325,FE
35,0.728175,EF
36,0.731,01
37,0.73385,80
38,0.736475,40
39,0.7393,22
40,0.74215,0C
41,0.744975,0B
42,0.747825,BC
43,0.750675,01
44,0.7535,83
45,0.75635,0E
46,0.7592,86
47,0.7618,30
48,0.76465,A0
49,0.767475,30
50,0.770325,26
51,0.773175,1C
52,0.776,01
53,0.77885,99
54,0.781675,10
55,0.784525,58
56,0.787125,50
57,0.789975,20
58,0.792825,58
59,0.79565,D8
60,0.7985,8C
61,0.80135,5E
62,0.804175,15
63,0.807025,08
64,0.80985,84
65,0.812475,C2
66,0.8153,63
67,0.81815,70
68,0.821,78
69,0.823825,B4
70,0.826675,4A
71,0.829525,1D
72,0.83235,15
73,0.8352,8C
74,0.8378,AC
75,0.84065,68
76,0.8435,10
77,0.846325,2C
78,0.849175,6C
79,0.852,46
80,0.85485,2D
81,0.8577,09
82,0.860525,84
83,0.86315,42
84,0.865975,21
85,0.868825,11
86,0.871675,F8
87,0.8745,3C
88,0.87735,56
89,0.880175,25
90,0.883025,91
91,0.885875,8A
92,0.888475,C6
93,0.891325,5F
94,0.89415,F7
95,0.897,78
96,0.89985,0C
97,0.902675,02
98,0.905525,01
99,0.90835,11
100,0.9112,58
101,0.9138,52
102,0.91665,96
103,0.9195,36
104,0.922325,15
105,0.925175,96
106,0.928025,39
107,0.93085,67
108,0.9337,80
109,0.93655,5A
110,0.93915,D1
111,0.941975,D6
112,0.944825,FC
113,0.947675,B5
114,0.9505,C4
115,0.95335,CD
116,0.9562,73
117,0.959025,00
118,0.961875,89
119,0.964475,AF
120,0.967325,27
121,0.970175,CC
122,0.973,08
123,0.97585,4B
124,0.978675,06
125,0.981525,F0
126,0.984375,C2
127,0.9872,BC
128,0.989825,31
129,0.99265,B8
130,0.9955,2C
131,0.99835,7D
132,1.00118,1B
133,1.00402,43
134,1.00685,10
135,1.0097,D2
136,1.01255,80
137,1.01515,B8
138,1.018,20
139,1.02083,1A
140,1.02368,08
141,1.02653,13
142,1.02935,86
143,1.0322,0D
144,1.03503,00
145,1.03788,80
146,1.04048,40
147,1.04333,20
148,1.04618,B0
149,1.049,08
150,1.05185,04
151,1.05468,02
152,1.05753,01
153,1.06038,20
154,1.0632,90
155,1.06583,38
156,1.06865,A0
157,1.0715,10
158,1.07432,08
159,1.07717,0C
160,1.08003,02
161,1.08285,01
162,1.0857,00
163,1.08852,81
164,1.09115,C0
165,1.09398,20
166,1.09683,10
167,1.09965,08
168,1.1025,04
169,1.10535,02
170,1.10818,00
171,1.11103,E3
172,1.11385,80
173,1.11648,40
174,1.1193,26
175,1.12215,73
176,1.125,37
177,1.12783,25
178,1.13068,12
179,1.1335,88
180,1.13635,E5
181,1.1392,84
182,1.1418,F5
183,1.14465,35
184,1.14748,58
185,1.15033,C8
186,1.15318,5F
187,1.156,53
188,1.15885,55
189,1.1617,8C
190,1.16453,82
191,1.16715,F5
192,1.16997,35
193,1.17283,58
194,1.17565,C8
195,1.1785,3F
196,1.18135,53
197,1.18417,55
198,1.18702,8C
199,1.18988,73
200,1.19247,40
201,1.19532,20
202,1.19815,13
203,1.201,39
204,1.20383,9B
205,1.20668,9E
206,1.20952,89
207,1.21235,44
208,1.2152,74
209,1.2178,42
210,1.22065,3A
211,1.2235,9A
212,1.22633,AC
213,1.22918,64
214,1.232,2B
215,1.23485,A9
216,1.2377,AA
217,1.24053,C6
218,1.24315,41
219,1.24598,3A
220,1.24883,9A
221,1.25168,AC
222,1.2545,64
223,1.25735,1B
224,1.26018,A9
225,1.26303,AA
226,1.26588,C6
227,1.26848,3A
228,1.27133,A2
229,1.27415,10
230,1.277,08
231,1.27985,84
232,1.28268,02
233,1.28553,21
234,1.28835,00
235,1.2912,88
236,1.29383,40
237,1.29665,22
238,1.2995,10
239,1.30232,08
240,1.30517,84
241,1.30802,02
242,1.31085,21
243,1.3137,00
244,1.31653,88
245,1.31915,40
246,1.32198,1D
247,1.32483,70
248,1.32768,28
249,1.3305,15
250,1.33335,3A
251,1.3362,9D
252,1.33903,44
253,1.34188,80
254,1.34448,44
255,1.34733,1D
256,1.35018,90
257,1.353,28
258,1.35585,0B
259,1.35868,B6
260,1.36153,0B
261,1.36438,47
262,1.3672,B0
263,1.36983,FF
264,1.37265,F1
265,1.3755,F9
266,1.37835,FF
267,1.38118,FF
268,1.38403,FF
269,1.38688,FF
270,1.3897,FF
271,1.39255,FC
272,1.39515,FE
273,1.398,3F
274,1.40085,F1
275,1.40368,6B
276,1.40653,A5
277,1.40938,41
278,1.4122,FF
279,1.41505,77
280,1.4179,80
281,1.4205,C0
282,1.42335,20
283,1.42617,11
284,1.42902,37
285,1.43188,34
286,1.4347,45
287,1.43755,FF
288,1.44037,77
289,1.44322,80
290,1.44583,C0
291,1.44868,20
292,1.45153,10
293,1.45435,01
